TransCode	TransDate	Detail
SLIP	16/08/2023 	Stip / Transfer
AccountCode	Partner	CostCenterCode	Debit	Credit	Details	Tax
1310		213 - JAO AL-QUDS BR 	 1154.24 	 0 	Stip / Transfer	
1310		213 - JAO AL-QUDS BR 	 32.33 	 0 	Stip / Transfer	
1310		304 - JAO ALJISH BR	 103.38 	 0 	Stip / Transfer	
1310		304 - JAO ALJISH BR	 30.88 	 0 	Stip / Transfer	
1310		304 - JAO ALJISH BR	 800.32 	 0 	Stip / Transfer	
1310		304 - JAO ALJISH BR	 12.66 	 0 	Stip / Transfer	
1310		304 - JAO ALJISH BR	 32.08 	 0 	Stip / Transfer	
1310		304 - JAO ALJISH BR	 49.09 	 0 	Stip / Transfer	
1310		304 - JAO ALJISH BR	 6.06 	 0 	Stip / Transfer	
1310		304 - JAO ALJISH BR	 958.82 	 0 	Stip / Transfer	
1310		304 - JAO ALJISH BR	 195 	 0 	Stip / Transfer	
1310		304 - JAO ALJISH BR	 24.86 	 0 	Stip / Transfer	
1310		304 - JAO ALJISH BR	 199.64 	 0 	Stip / Transfer	
1310		304 - JAO ALJISH BR	 2 	 0 	Stip / Transfer	
1310		304 - JAO ALJISH BR	 11.74 	 0 	Stip / Transfer	
1310		304 - JAO ALJISH BR	 35.03 	 0 	Stip / Transfer	
1310		304 - JAO ALJISH BR	 3.08 	 0 	Stip / Transfer	
1310		304 - JAO ALJISH BR	 1088.16 	 0 	Stip / Transfer	
1310		304 - JAO ALJISH BR	 18.68 	 0 	Stip / Transfer	
1310		304 - JAO ALJISH BR	 6.02 	 0 	Stip / Transfer	
1310		304 - JAO ALJISH BR	 9.3 	 0 	Stip / Transfer	
1310		304 - JAO ALJISH BR	 6.25 	 0 	Stip / Transfer	
1310		304 - JAO ALJISH BR	 11.87 	 0 	Stip / Transfer	
1310		304 - JAO ALJISH BR	 70.83 	 0 	Stip / Transfer	
1310		304 - JAO ALJISH BR	 6.04 	 0 	Stip / Transfer	
1310		304 - JAO ALJISH BR	 907.84 	 0 	Stip / Transfer	
1310		304 - JAO ALJISH BR	 12.76 	 0 	Stip / Transfer	
1310		304 - JAO ALJISH BR	 18.06 	 0 	Stip / Transfer	
1310		305 - JAO AWAMAYAH BR.	 5.98 	 0 	Stip / Transfer	
1310		305 - JAO AWAMAYAH BR.	 5.89 	 0 	Stip / Transfer	
1310		305 - JAO AWAMAYAH BR.	 530.88 	 0 	Stip / Transfer	
1310		305 - JAO AWAMAYAH BR.	 6.92 	 0 	Stip / Transfer	
